#Data : Summary of Effective stress

               0                0                0                0 
     0.100000001     0.0106386039     0.0104136532      0.010154848 
     0.200000003     0.0213275477     0.0208653081     0.0203337185 
     0.300000012     0.0320700705     0.0313574001     0.0305381995 
     0.400000006     0.0428695679     0.0418925099     0.0407699198 
             0.5     0.0537296049     0.0524732731     0.0510305502 
     0.600000024      0.064653933      0.063102521     0.0613218024 
     0.699999988     0.0756465048     0.0737831593     0.0716454238 
     0.800000012     0.0867114514     0.0845181867     0.0820032284 
     0.899999976     0.0978531614     0.0953107551     0.0923970267 
               1      0.109076224      0.106164239      0.102828711 
